region,year,value
충청남도아산시,2022,140253.0
충청남도아산시,2023,127516.0
충청남도예산군,2020,3095.0
충청남도예산군,2021,3102.0
충청남도예산군,2022,3081.0
충청남도예산군,2023,4727.0
충청남도천안시,2020,20793.0
충청남도천안시,2021,26094.5
충청남도천안시,2022,45591.5
충청남도천안시,2023,21368.0
충청남도청양군,2020,2606.0
충청남도청양군,2021,2466.0
충청남도청양군,2022,1710.0
충청남도청양군,2023,4495.0
충청남도태안군,2020,13120.0
충청남도태안군,2021,10811.0
충청남도태안군,2022,8858.0
충청남도태안군,2023,8979.0
충청남도홍성군,2020,1613.0
충청남도홍성군,2021,1479.0
충청남도홍성군,2022,1854.0
충청남도홍성군,2023,3598.0
충청북도괴산군,2020,3726.0
충청북도괴산군,2021,1987.0
충청북도괴산군,2022,2017.0
충청북도괴산군,2023,2071.0
충청북도단양군,2020,1140.0
충청북도단양군,2021,633.0
충청북도단양군,2022,580.0
충청북도단양군,2023,404.0
충청북도보은군,2020,1092.0
충청북도보은군,2021,1825.0
충청북도보은군,2022,861.0
충청북도보은군,2023,2035.0
충청북도영동군,2020,1275.0
충청북도영동군,2021,971.0
충청북도영동군,2022,1811.0
충청북도영동군,2023,1797.0
충청북도옥천군,2020,920.0
충청북도옥천군,2021,1046.0
충청북도옥천군,2022,914.0
충청북도옥천군,2023,779.0
충청북도음성군,2020,40727.0
충청북도음성군,2021,37912.0
충청북도음성군,2022,30260.0
충청북도음성군,2023,26740.0
충청북도제천시,2020,4725.0
충청북도제천시,2021,3563.0
충청북도제천시,2022,3195.0
충청북도제천시,2023,5813.0
충청북도증평군,2020,8143.0
충청북도증평군,2021,3932.0
충청북도증평군,2022,2373.0
충청북도증평군,2023,14468.0
충청북도진천군,2020,20617.0
충청북도진천군,2021,22553.0
충청북도진천군,2022,25050.0
충청북도진천군,2023,27521.0
충청북도청주시,2020,54773.0
충청북도청주시,2021,47380.25
충청북도청주시,2022,41582.0
충청북도청주시,2023,42959.25
충청북도충주시,2020,11619.0
충청북도충주시,2021,10430.0
충청북도충주시,2022,8331.0
